Title, YouTube link, Duration, Minutes, Seconds, Processing (s)
Have You Ever Seen The Rain - Creedence Clearwater Revival, https://youtu.be/Gu2pVPWGYMQ, 02:41, 2.68, 161, 13.1710
Denzel Curry + Kenny Beats - Take_it_Back_v2, https://youtu.be/5wvZMZfZORc, 02:49, 2.82, 169, 14.2898
MF DOOM - Rap Snitch Knishes, https://youtu.be/3EfMMNTD1x4, 03:04, 3.07, 184, 15.0086
All Time Low - Dear Maria &  Count Me In, https://youtu.be/GcNiKCmWdYE, 03:05, 3.08, 185, 15.3559
The Weekend & Ariana Grande - Save Your Tears , https://youtu.be/vI9zLBFJ3LU, 03:06, 3.10, 186, 15.2529
Barns Courtney - Hobo Rocket , https://youtu.be/iMct9474w7g, 03:07, 3.12, 187, 14.6917
Muse - Undisclosed Desires, https://youtu.be/R8OOWcsFj0U, 03:23, 3.38, 203, 18.6156
Jadu Heart - I'm A Kid, https://youtu.be/5ZnyKr0NacY, 03:26, 3.43, 206, 16.4733
Toledo - Leales, https://youtu.be/bGld8nM4Cxo, 03:28, 3.47, 208, 20.4987
Of Monsters And Men - Mountain Sound, https://youtu.be/qt7ox1M_XG4, 03:31, 3.52, 211, 16.8875
Them Changes - Thundercat, https://youtu.be/GNCd_ERZvZM, 03:33, 3.55, 213, 15.2970
Kygo - Sunrise, https://youtu.be/A2GbEFFyzGw, 03:36, 3.60, 216, 19.8413
Toledo - Soñaba , https://youtu.be/DiW95vgp-kk, 03:38, 3.63, 218, 18.5873
Apollo Rising - Say It, https://youtu.be/UNm9gyDGw6Q, 03:39, 3.65, 219, 18.7592
The Killers - When You Were Young, https://youtu.be/bmF14KVbEs0, 03:40, 3.67, 220, 15.9776
Gwen Stefani - What You Waiting For, https://youtu.be/RtBPPr_GVUg, 03:41, 3.68, 221, 16.0330
Falling In Reverse - Popular Monster, https://youtu.be/jakpo7tj7Qw, 03:52, 3.87, 232, 17.0770
Grover Washington Jr - Just the two of us, https://youtu.be/PJ0u5c9EF1E, 03:56, 3.93, 236, 24.5483
The Weeknd - Blinding Lights, https://youtu.be/fHI8X4OXluQ, 04:08, 4.13, 248, 14.8194
Passenger Let Her Go (Official Video), https://youtu.be/RBumgq5yVrA, 04:14, 4.23, 254, 25.3280
Blink 182 - Ghosts On The Dance Floor, https://youtu.be/YHPsjZ-TFxA, 04:18, 4.30, 258, 17.5224
Imagine Dragons - Radioactive, https://youtu.be/ktvTqknDobU, 04:21, 4.35, 261, 20.0115
The Scientist - Coldplay, https://youtu.be/RB-RcX5DS5A, 04:25, 4.42, 265, 25.9815
Do I Wanna Know - Arctic Monkeys, https://youtu.be/bpOSxM0rNPM, 04:25, 4.42, 265, 20.4286
Feel - Robbie Williams , https://youtu.be/iy4mXZN1Zzk, 04:32, 4.53, 272, 25.4302
Ed Sheeran - Photograph (Official Music Video), https://youtu.be/nSDgHBxUbVQ, 04:34, 4.57, 274, 22.7345
Passionfruit, https://youtu.be/COz9lDCFHjw, 04:58, 4.97, 298, 22.6947
Coldplay - Shiver, https://youtu.be/u8XFFTWwSvY, 04:59, 4.98, 299, 26.8630
Saturn - Sleeping at Last, https://youtu.be/Ndo__nDoMlM, 05:17, 5.28, 317, 47.3329
Arctic Monkeys - Star Treatment (Official Audio), https://youtu.be/f_2rM8A_1-w, 05:54, 5.90, 354, 35.6968
Innuendo- Queen , https://youtu.be/qMAgetDMMLk, 06:32, 6.53, 392, 36.4249
Foals - Exits, https://youtu.be/HDuelZ-ycSI, 06:43, 6.72, 403, 36.9988
Bela Lugosi's Dead (Official Version), https://youtu.be/pVatiofd9lg, 09:36, 9.60, 576, 45.2827
All Them Witches - Blood and Sand Milk And Endless Waters, https://youtu.be/eovMuxGqyGQ, 11:10, 11.17, 670, 57.7334
Rime of the Ancient Mariner (2015 Remaster), https://youtu.be/OSDZj_jh5cE, 13:38, 13.63, 818, 82.4333
