artist_name,title,duration
QBO,"Te olvidarás de mí",212.16608
"Queen Ifrica","Locks a Grow",248.05832
Quantec,"Unknown Perception",405.65506
"queen AaMinah","Princess In Exile",355.5522
"Queensrÿche","The Art Of Life",252.1073
QPE,NOT,39.28771
"Question Mark & The Mysterians","I'll Be Back",287.4771
"Queen Latifah","Big Blonde And Beautiful (""Hairspray"")",155.27138
QPE,Uptown,187.8722
"Quim Barreiros","A Rabada Da Manuela",159.50322
Quasi,"Empty Words",232.80281
Queensryche,"Speed Of Light (2007 Live At The Moore Theater in Seattle LP Version)",192.67873
"Quinn Lemley","Ev'rybody's Gotta Swing",255.89506
"Queen Latifah","Come Into My House",252.62975
"Queen + Paul Rodgers","Through The Night",292.57098
Queensryche,"Breaking The Silence (2002 Digital Remaster)",274.31138
Quovadis,"Vital Signs 2000",142.86322
"Quarteto Em Cy","Maria_ Maria",208.27383
Quietdrive,"Into The Ocean",257.04444
"Quinn Lemley","Gypsy In My Soul",134.50404
Qwote,"One More Time",110.8371
"Quincy Jones & Dinah Washington","You Let My Love Grow Cold (Original)",146.38975
"Queens Club",Upstart,215.562
"Queen Omega","Bomb Inna Sodom",217.44281
"Quadro Nuevo","Still_ still_ still",251.29751
"Quinn Lemley","Thanks A Lot_ But No Thanks",135.07873
Q-Project,"Language Barrier",345.86077
"Quincy Jones","Strike Up The Band",146.57261
"Q-Burns Abstract Message",Innocent,432.27383
Queensryche,"Some People Fly (2002 Digital Remaster)",318.22322
"Quicksilver Messenger Service","Bubba Jeans",662.17751
"Q-Burns Abstract Message & Lisa Shaw","This Time",372.68853
"Quicksilver Messenger Service","Wide Laig",1532.36853
"Quentin Harris","Slow Velocity",335.17669
"Queens Club","An Apparition",186.46159
"Quad City DJ's","Work Baby Work (The Prep) (LP Version)",334.41914
"Queen + Paul Rodgers","Hammer To Fall (Live In Ukraine)",222.48444
Quest,"Keep Ya Kool",263.52281
Qualifide,"Bad Man",245.78567
"Quiet Riot","Stay With Me Tonight",279.61424
"Quinteto Violado","Bodas De Frevo",250.51383
Quantic,"Sweet Calling featuring Alice Russell",125.3873
Quicksand,"Freezing Proces",199.20934
"Quincy Jones","Sometimes I'm Happy",348.3424
