artist_name,title,duration
Aerosmith,"I'm Ready",253.70077
Aerosmith,"Remember (Walking In The Sand)",244.40118
"Alpha 5.20","Cités dortoires (feat. 59 Grammes)",350.56281
"Andrea Klas",Ride,241.78893
Abijah,"Love Can Change feat. Nadine Sutherland",241.162
"Alice In Videoland","Stuck On My Vision",168.33261
A.Human,"Pacey Singer",225.35791
"Archie Roach","Summer Of My Life",214.72608
"American Boychoir","Praise_ My Soul_ The King Of Heaven",160.07791
Airscape,"LEsperanza",442.51383
"Al Green","I Say A Little Prayer",133.58975
Autechre,AcroyearII,519.3922
AJP,"Nothing More to Say",169.40363
"Anael Miller",Pourquoi,181.81179
Arabesque,"Hit Medley Part Three",266.08281
"Asheru And Blue Black Of The Unspoken Heard","How You Livin? f/J-Live & Grap Luva & Sondia",185.86077
"Angelus Apatrida","Killers And Killed",285.88363
"Albert Cummings","Your Sweet Love",310.5171
"Alejandro Fernandez","Júrame",262.97424
Attitude,"Blow Ya Back Out [Radio Edit]",239.17669
"Alberto Fortis","L'Uomo Grande",170.44853
"Ace Karaoke Productions","Miles Away (In the style of 'Madonna') [With Backing Vocals]",289.48853
"Anti Nowhere League","Am I Dead",235.59791
Akcent,"Feel Me",207.51628
"Absent Elk","My First Guitar",191.08526
Afu-Ra,"Power Skit #2",12.45995
Air,"Casanova 70 The Secret Of Cool",331.62404
Aerosmith,"Cryin'",309.18485
"Arnaldo Antunes","Eu Não Sou Da Sua Rua",175.0722
Attack,"Två av Oss",204.14649
"Attic Lights","Shiver The Trees",137.40363
Ambrosia,"Holdin' On To Yesterday",418.0371
"Andrew Gold","Latin - Phone Message",28.62975
Assassin,"Poppin Wit Game",234.50077
"Arthur Adams","Callin' Heaven",219.6371
AGATHODAIMON,"After dark",266.4224
"Audio Soul Project feat. Nathan Drew Larsen","Don't Sleep",608.07791
A.C.T,"Lord Of Lies",144.03873
"Asia 2001",Antartica,490.84036
"Andres Calamaro","La Verdadera Libertad",113.65832
AfroReggae,Benedito,269.5571
"Aural Float","New Frontiers",404.29669
"April March","Attention Cherie",369.00526
Adema,"Until Now",227.29098
"Anthony Cruz","I've Been Waiting",221.41342
"Andy Stochansky","Talk Show",285.962
"A Life Once Lost","The Change Came Suddenly",249.33832
Anti-Pasti,"East To West",183.53587
"Auditory Canvas","Mystery Trip (Original Mix)",404.79302
"Alan Silvestri","I Need Terry Sheridan",339.85261
"Ashley Walters","A Different World",193.30567
Ametsub,"The Solo To Untamed Place",428.40771
Avant,"Private Room Intro",64.80934
Azymuth,"Roda Piao (Spiritual South Remix)",365.19138
"Angelo dei Teppisti dei Sogni","Abbracciami Più Forte",205.7922
Anjulie,"Some Dumb Girl",266.63138
"Arve Henriksen & Elling Vanberg",Grunnsteinar,29.25669
AGATHODAIMON,"Light Reborn",243.46077
